Steppe:Russia_Srubnaya_Alakul.SG:kzb001_noUDG.SG,0.118376,0.091398,0.052043,0.076228,0.027082,0.025658,0.013161,-0.006461,0.002045,-0.023326,-0.014128,-0.002997,-0.004906,-0.015414,0.028501,0.015646,0,0.001014,0.007416,0.008379,0.00861,0.016569,-0.012078,0.006989,0.00012
Steppe:Russia_Srubnaya_Alakul.SG:kzb002.SG,0.136588,0.097491,0.056191,0.100776,-0.008309,0.034861,0.005405,0.001846,-0.028429,-0.04319,-0.000487,0.000899,0.000743,-0.019955,0.024158,0.011933,-0.007041,-0.000633,0.005405,0,-0.004866,0.002844,0.008997,-0.000843,-0.001916
Steppe:Russia_Srubnaya_Alakul.SG:kzb006_noUDG.SG,0.121791,0.108662,0.047894,0.083011,0.007078,0.025379,0.002115,0.005307,-0.012271,-0.02934,-0.01023,0.005395,-0.001041,-0.017753,0.015472,0.014187,-0.012126,-0.002914,0.004902,0.005378,0.00262,-0.000989,-0.008997,-0.005181,0.005987
Steppe:Russia_Srubnaya_Alakul.SG:kzb007_noUDG.SG,0.124067,0.107646,0.064111,0.072998,0.010156,0.02761,0.00423,0.013153,-0.023929,-0.0277,-0.000162,0.00045,-0.005352,-0.016928,0.023344,0.026916,0.0103,-0.00076,0.00088,0.004627,-0.006738,0.000742,0.007272,0.014821,0.001317
Steppe:Russia_Srubnaya_Alakul.SG:kzb008_noUDG.SG,0.124067,0.102568,0.04978,0.095931,0.001846,0.029562,0.00564,0.002077,-0.031292,-0.052666,-0.005684,-0.001948,-0.006987,-0.016515,0.028094,-0.005569,-0.011083,-0.004941,-0.002765,0.005253,0.000749,0.00371,0.003204,0.007832,0.002994
Steppe:Russia_Srubnaya_Alakul.SG:kzb009_noUDG.SG,0.124067,0.09546,0.056945,0.070414,0.007694,0.034304,0.00564,-0.002077,-0.024338,-0.027518,-0.005521,0.000599,0,-0.023533,0.016965,0.015778,-0.000782,0.003674,0.009553,0.003377,-0.007612,0.002226,0.001725,0.005422,0.001676
Steppe:Russia_Srubnaya_Alakul.SG:mur003_noUDG.SG,0.132035,0.109677,0.062602,0.085272,0.010463,0.035698,0.00611,0.004615,-0.021066,-0.032256,0.003897,-0.001499,0.000297,-0.020231,0.027823,0.009149,-0.004563,-0.006334,0.006536,0.01063,0.005865,0.001484,0.006655,0.014219,-0.003832
Steppe:Russia_Srubnaya_Alakul.SG:mur004_noUDG.SG,0.127482,0.105615,0.064488,0.091732,0.002154,0.034304,-0.00047,0.008307,-0.020861,-0.03991,-0.000487,-0.003297,-0.004162,-0.00812,0.033387,0.003315,-0.023469,-0.000127,0.001131,0.001,0.003993,-0.004822,0.008381,0.010001,0.003952
Steppe:Russia_MLBA_Sintashta.SG:RISE386_noUDG.SG,0.10927,0.119832,0.051666,0.076551,0.004924,0.016176,0.00376,0.001154,-0.020861,-0.030251,0.003573,0.007643,-0.005649,-0.027249,0.023615,0.017634,-0.005998,0.005701,-0.012318,0.00963,-0.003244,0.001484,0.010846,0.008676,0.001317
Steppe:Russia_MLBA_Sintashta.SG:RISE392_noUDG.SG,0.122929,0.111708,0.054682,0.076228,0.017849,0.031236,0.004935,-0.003,-0.019021,-0.023873,0.00341,0.004046,-0.003419,-0.026286,0.021308,0.023999,0.004172,0.002787,-0.004902,0.012381,-0.019715,-0.001978,0.005916,0.01687,-0.005269
